x,y
-25.951,-57.6911
3.35056,26.9365
10.5965,17.264
-7.10536,-13.8484
0.830798,5.85325
8.0804,-17.0318
4.57273,-0.61357
2.77069,3.34447
36.018,74.3234
-3.07915,-12.6638
-4.74517,-13.2929
-12.6681,-47.0225
-20.0934,-44.0306
17.4072,60.2368
-17.8589,-50.2535
4.47849,-18.3061
14.7623,16.7738
-4.38191,-17.2427
-1.94367,-12.1451
5.89203,-2.78278
-5.02783,-20.7553
-11.322,-34.6993
-3.06812,-0.591135
18.7272,62.769
5.68894,14.75
-12.4228,-6.74563
-5.46744,-14.6896
16.2554,46.1668
16.1941,27.2515
20.0448,23.8525
-9.05801,13.5846
9.86412,16.9169
11.3181,-1.06861
-7.95097,-3.5506
18.8452,21.3754
-2.96147,-5.89037
6.59882,3.12772
-14.2449,-31.4123
9.00125,35.6274
0.599141,14.8653
16.5346,36.8446
-9.69929,-37.8648
0.402158,0.687859
2.00797,-7.74013
-4.36778,13.3538
1.72804,-23.9384
14.091,22.2756
6.8525,-3.20005
12.4515,25.9207
-5.23694,-3.47814
